Image,u,v,pitch,yaw,A_E,A_N,F_E,F_N
DJI_0907.JPG,3837,351,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295406.69,2155324.09
DJI_0907.JPG,3792,402,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295407.29,2155323.85
DJI_0907.JPG,3898,656,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295409.02,2155325.48
DJI_0907.JPG,3800,237,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295405.88,2155323.45
DJI_0907.JPG,3959,181,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295404.8,2155324.67
DJI_0907.JPG,3733,706,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295410.04,2155324.25
DJI_0907.JPG,3898,349,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295406.45,2155324.61
DJI_0907.JPG,3883,771,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295410.03,2155325.69
DJI_0907.JPG,3909,187,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295405.04,2155324.26
DJI_0907.JPG,3761,329,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295406.79,2155323.38
DJI_0907.JPG,3718,195,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295405.83,2155322.62
DJI_0907.JPG,3825,542,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295408.33,2155324.53
DJI_0907.JPG,3404,711,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295411.29,2155321.51
DJI_0907.JPG,3973,460,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295407.1,2155325.56
DJI_0907.JPG,3793,199,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295405.58,2155323.28
DJI_0907.JPG,3908,379,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295406.66,2155324.78
DJI_0907.JPG,3706,747,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295410.48,2155324.14
DJI_0907.JPG,3961,580,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295408.15,2155325.79
DJI_0907.JPG,3793,547,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295408.49,2155324.28
DJI_0907.JPG,3594,654,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295410.12,2155322.92
DJI_0907.JPG,3350,661,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295411.08,2155320.9
DJI_0907.JPG,3660,724,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295410.46,2155323.69
DJI_0907.JPG,3918,580,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295408.31,2155325.43
DJI_0907.JPG,3716,266,-1.5690509975429023,4.2987459476620336,295424.37,2155319.62,295406.44,2155322.81
