,Source_Image,Altitude,Pitch,u,v,Reference_Point_ID,Prj_Error_Easting,Prj_Error_Northing,Prj_Error,Flat_Error_Easting,Flat_Error_Northing,Flat_Error,delta,gamma,tan_beta,tan_alpha
419,DJI_0033.JPG,30,0,1449,3590,GCP_5,-1.22,-7.641,7.737782693,-1.22,-7.641,7.737782693,-0.340863948,0,-0.261899476,0.450599646
420,DJI_0033.JPG,30,0,1229,443,GCP_4,-0.283,5.417,5.424387339,-0.283,5.417,5.424387339,0.32554182,0,-0.310297531,0.470314907
421,DJI_0034.JPG,30,0,3365,3107,RR_1,-2.848,4.292,5.150957969,-2.848,4.292,5.150957969,-0.243530084,0,0.159603587,0.297957947
422,DJI_0034.JPG,30,0,1239,1282,GCP_4,-1.653,6.087,6.307454162,-1.663,6.077,6.300436334,0.151815222,0,-0.308097619,0.347206971
423,DJI_0035.JPG,30,0,1295,2256,GCP_4,-1.923,6.737,7.006075792,-1.923,6.737,7.006075792,-0.061186487,0,-0.295778115,0.302599052
424,DJI_0036.JPG,30,0,1402,3113,GCP_4,-3.033,7.017,7.644434446,-3.043,7.017,7.648407547,-0.244772807,0,-0.27223906,0.375671171
425,DJI_0037.JPG,30,0,2715,1324,GCP_4,-6.083,4.427,7.523378098,-6.083,4.427,7.523378098,0.142775351,0,0.016609333,0.144729516
426,DJI_0038.JPG,30,0,690,386,RR_1,-5.038,2.202,5.49820407,-5.028,2.212,5.493061806,0.336754781,0,-0.428872766,0.573618252
427,DJI_0038.JPG,30,0,2811,2198,GCP_4,-5.623,4.427,7.156567473,-5.623,4.427,7.156567473,-0.04846644,0,0.037728484,0.061477367
428,DJI_0038.JPG,30,0,4160,161,GCP_3,-9.615,-3.302,10.16619049,-9.605,-3.302,10.15673319,0.380147766,0,0.334496559,0.537977916
429,DJI_0039.JPG,30,0,817,1200,RR_1,-4.138,1.772,4.501447323,-4.138,1.782,4.505393212,0.169391387,0,-0.400933889,0.441249885
430,DJI_0039.JPG,30,0,2892,3061,GCP_4,-4.673,4.477,6.471511261,-4.673,4.477,6.471511261,-0.233977263,0,0.055547768,0.245087807
431,DJI_0039.JPG,30,0,4306,1027,GCP_3,-8.525,-2.612,8.916174572,-8.515,-2.612,8.906613779,0.206116607,0,0.366615268,0.428951686
432,DJI_0040.JPG,30,0,875,2015,RR_1,-2.998,1.822,3.508231463,-2.998,1.822,3.508231463,-0.008248865,0,-0.388174402,0.388275245
433,DJI_0040.JPG,30,0,2831,768,GCP_5,-3.79,-10.541,11.20164189,-3.78,-10.541,11.19826241,0.260035373,0,0.042128307,0.269607199
434,DJI_0040.JPG,30,0,4393,1844,GCP_3,-7.055,-2.232,7.399651951,-7.055,-2.232,7.399651951,0.029358187,0,0.385754499,0.387036513
435,DJI_0041.JPG,30,0,888,2930,RR_1,-2.668,1.982,3.323634757,-2.668,1.982,3.323634757,-0.206538092,0,-0.385314517,0.445966663
436,DJI_0041.JPG,30,0,2859,1655,GCP_5,-3.09,-10.511,10.95578482,-3.09,-10.511,10.95578482,0.070823193,0,0.04828806,0.085884907
437,DJI_0041.JPG,30,0,4447,2742,GCP_3,-6.205,-2.632,6.740137165,-6.205,-2.632,6.740137165,-0.166611674,0,0.397634022,0.436881949
438,DJI_0041.JPG,30,0,3806,62,RR_3,-5.004,2.154,5.447910792,-5.004,2.154,5.447910792,0.398784831,0,0.256619688,0.505065601
439,DJI_0042.JPG,30,0,925,3792,RR_1,-1.778,2.372,2.964400108,-1.778,2.372,2.964400108,-0.379768333,0,-0.377174844,0.569421925
440,DJI_0042.JPG,30,0,2888,2496,GCP_5,-1.83,-10.541,10.69867193,-1.83,-10.541,10.69867193,-0.113566127,0,0.054667803,0.126634992
441,DJI_0042.JPG,30,0,4494,3573,GCP_3,-4.615,-3.312,5.680454999,-4.615,-3.312,5.680454999,-0.337538397,0,0.407973606,0.556888227
442,DJI_0042.JPG,30,0,761,322,RR_2,-3.717,1.698,4.086476844,-3.717,1.698,4.086476844,0.349240596,0,-0.413253394,0.571003645
443,DJI_0042.JPG,30,0,3828,885,RR_3,-3.754,2.704,4.626459986,-3.754,2.704,4.626459986,0.235849778,0,0.261459494,0.360643999
444,DJI_0043.JPG,30,0,822,2142,RR_2,-5.617,0.098,5.61785484,-5.617,0.098,5.61785484,-0.036170059,0,-0.399833933,0.401728667
445,DJI_0043.JPG,30,0,3952,2612,RR_3,-5.024,1.794,5.334698867,-5.024,1.794,5.334698867,-0.138678064,0,0.288738397,0.323225727
446,DJI_0044.JPG,30,0,853,3105,RR_2,-5.337,-0.242,5.342483786,-5.337,-0.252,5.342946097,-0.243115673,0,-0.393014207,0.474843545
447,DJI_0044.JPG,30,0,4028,3528,RR_3,-4.104,0.514,4.136062379,-4.094,0.514,4.126140085,-0.328698032,0,0.305457726,0.469561229
448,DJI_0045.JPG,30,0,2304,579,GCP_1,-5.978,-4.702,7.605608983,-5.978,-4.702,7.605608983,0.29844625,0,-0.073807034,0.317178332
449,DJI_0046.JPG,30,0,2378,1534,GCP_1,-2.568,-4.262,4.975868568,-2.568,-4.262,4.975868568,0.09725103,0,-0.057527688,0.113395988
450,DJI_0047.JPG,30,0,2453,2433,GCP_1,-5.008,-5.602,7.514151183,-5.008,-5.602,7.514151183,-0.099865166,0,-0.041028351,0.108351104
451,DJI_0048.JPG,30,0,3986,1978,GCP_1,-1.108,-5.202,5.31869044,-1.108,-5.202,5.31869044,-0.000109987,0,0.296218097,0.296218119
452,DJI_0048.JPG,30,0,990,1078,GCP_2,4.58,2.168,5.067210672,4.58,2.168,5.067210672,0.195344007,0,-0.362875418,0.419506171
453,DJI_0049.JPG,30,0,4193,2880,GCP_1,-5.468,-4.272,6.938948624,-5.468,-4.272,6.938948624,-0.195978987,0,0.341756267,0.401015868
454,DJI_0049.JPG,30,0,1189,2106,GCP_2,-0.29,3.208,3.221081185,-0.29,3.208,3.221081185,-0.028259226,0,-0.319097177,0.320473674
455,DJI_0050.JPG,30,0,4334,3776,GCP_1,-6.248,-2.782,6.839373363,-6.248,-2.782,6.839373363,-0.376728735,0,0.372775021,0.563231763
456,DJI_0050.JPG,30,0,1389,3018,GCP_2,-1.31,4.238,4.435847608,-1.31,4.238,4.435847608,-0.225007907,0,-0.275098946,0.36336187
457,DJI_0050.JPG,30,0,2418,33,RR_3,-1.114,0.134,1.122030303,-1.114,0.134,1.122030303,0.404189866,0,-0.048728042,0.431011685
458,DJI_0051.JPG,30,0,2491,975,RR_3,-1.984,1.544,2.513999205,-1.984,1.544,2.513999205,0.217050681,0,-0.032668687,0.223047678
459,DJI_0052.JPG,30,0,2584,1875,RR_3,0.116,3.564,3.565887267,0.116,3.564,3.565887267,0.022543589,0,-0.012209509,0.025642417
460,DJI_0052.JPG,30,0,3427,150,GCP_5,1.31,-11.101,11.1780276,1.31,-11.101,11.1780276,0.38223259,0,0.173243038,0.443249971
461,DJI_0053.JPG,30,0,2752,2725,RR_3,-1.654,4.314,4.620206922,-1.654,4.314,4.620206922,-0.162972746,0,0.024749005,0.166332982
462,DJI_0053.JPG,30,0,3600,1015,GCP_5,-0.28,-10.521,10.52472522,-0.28,-10.521,10.52472522,0.208644396,0,0.211301509,0.302452589
463,DJI_0053.JPG,30,0,1895,30,GCP_3,-1.555,-3.752,4.061468823,-1.555,-3.752,4.061468823,0.404747591,0,-0.163783419,0.463977733
464,DJI_0054.JPG,30,0,2843,3667,RR_3,-2.134,5.024,5.458436773,-2.144,5.014,5.453157984,-0.355828066,0,0.044768201,0.374703505
465,DJI_0054.JPG,30,0,3696,1971,GCP_5,-0.61,-9.891,9.909792178,-0.61,-9.891,9.909792178,0.001429835,0,0.23242066,0.232425296
466,DJI_0054.JPG,30,0,2000,980,GCP_3,-2.155,-2.632,3.40168326,-2.155,-2.632,3.40168326,0.216001573,0,-0.140684347,0.262473338
467,DJI_0055.JPG,30,0,3753,2899,GCP_5,-1.42,-8.941,9.053059207,-1.42,-8.941,9.053059207,-0.199996797,0,0.244960157,0.321809121
468,DJI_0055.JPG,30,0,2083,1909,GCP_3,-3.055,-1.542,3.422103008,-3.055,-1.542,3.422103008,0.015067128,0,-0.122425081,0.123362701
469,DJI_0056.JPG,30,0,3833,3748,GCP_5,-2.71,-8.151,8.589697375,-2.72,-8.151,8.592857557,-0.371391823,0,0.262559449,0.480704988
470,DJI_0056.JPG,30,0,2177,2759,GCP_3,-4.235,-1.112,4.378557868,-4.235,-1.112,4.378557868,-0.170246154,0,-0.101745911,0.200527559
471,DJI_0056.JPG,30,0,3534,592,GCP_4,-1.583,4.137,4.429521193,-1.583,4.137,4.429521193,0.295831722,0,0.196782093,0.367706248
472,DJI_0057.JPG,30,0,3581,1527,GCP_4,-1.923,4.287,4.698542114,-1.923,4.287,4.698542114,0.098776107,0,0.207121677,0.230523791
473,DJI_0057.JPG,30,0,2252,3639,GCP_3,-5.025,-0.792,5.087031453,-5.025,-0.792,5.087031453,-0.350405408,0,-0.085246574,0.376588878
474,DJI_0058.JPG,30,0,3654,2339,GCP_4,-3.353,4.707,5.779139902,-3.353,4.707,5.779139902,-0.079353874,0,0.223181032,0.237588542
475,DJI_0059.JPG,30,0,3773,3180,GCP_4,-4.593,5.157,6.905816244,-4.593,5.157,6.905816244,-0.258596795,0,0.24935998,0.369461523
476,DJI_0060.JPG,30,0,191,1499,GCP_4,-4.573,2.377,5.153877958,-4.573,2.377,5.153877958,0.10487174,0,-0.538648355,0.551757035
477,DJI_0061.JPG,30,0,413,2203,GCP_4,-6.713,2.257,7.082260797,-6.713,2.257,7.082260797,-0.049563673,0,-0.489810318,0.492914864
478,DJI_0061.JPG,30,0,1812,60,GCP_3,-10.205,-4.422,11.12187525,-10.195,-4.422,11.11270035,0.399158387,0,-0.182042685,0.465781204
479,DJI_0062.JPG,30,0,440,3041,GCP_4,-6.303,2.677,6.847929468,-6.303,2.667,6.844026447,-0.229810147,0,-0.483870556,0.549248507
480,DJI_0062.JPG,30,0,1925,910,GCP_3,-9.385,-4.742,10.51497927,-9.385,-4.742,10.51497927,0.230644225,0,-0.157183684,0.284975314
481,DJI_0063.JPG,30,0,530,3933,GCP_4,-5.863,2.927,6.553022051,-5.843,2.917,6.530661376,-0.406233552,0,-0.464071352,0.663513783
482,DJI_0063.JPG,30,0,2043,1810,GCP_3,-8.585,-5.362,10.12192022,-8.585,-5.362,10.12192022,0.036829104,0,-0.131224727,0.13638518
483,DJI_0063.JPG,30,0,419,726,GCP_5,-5.52,-12.711,13.85784691,-5.52,-12.701,13.84867506,0.268643569,0,-0.488490371,0.576625579
484,DJI_0064.JPG,30,0,2054,2630,GCP_3,-7.535,-4.962,9.022065672,-7.535,-4.962,9.022065672,-0.142559824,0,-0.128804824,0.193737833
485,DJI_0064.JPG,30,0,445,1544,GCP_5,-4.42,-12.851,13.58987127,-4.42,-12.851,13.58987127,0.095071562,0,-0.4827706,0.494247066
486,DJI_0065.JPG,30,0,1987,3881,GCP_3,-9.265,-4.692,10.38533047,-9.265,-4.692,10.38533047,-0.396541021,0,-0.143544232,0.446705245
487,DJI_0065.JPG,30,0,492,2396,GCP_5,-3.37,-12.871,13.30486907,-3.37,-12.871,13.30486907,-0.091800667,0,-0.472431016,0.483277903
488,DJI_0065.JPG,30,0,1428,782,RR_3,-5.404,0.774,5.459147553,-5.404,0.774,5.459147553,0.257157122,0,-0.26651929,0.380924384
489,DJI_0066.JPG,30,0,540,3220,GCP_5,-2.38,-12.351,12.57821931,-2.38,-12.361,12.58803881,-0.266802341,0,-0.46187144,0.551329593
490,DJI_0066.JPG,30,0,1458,1611,RR_3,-4.274,0.794,4.347126867,-4.274,0.794,4.347126867,0.080446741,0,-0.259919555,0.27294136
491,DJI_0067.JPG,30,0,1490,2491,RR_3,-3.504,0.534,3.544456517,-3.504,0.534,3.544456517,-0.112480244,0,-0.252879838,0.278430303
492,DJI_0068.JPG,30,0,1549,3402,RR_3,-3.034,0.784,3.133657926,-3.024,0.784,3.123976953,-0.303662684,0,-0.23990036,0.40173871
493,DJI_0068.JPG,30,0,2711,531,GCP_2,-3.61,2.068,4.160375464,-3.61,2.068,4.160375464,0.308063322,0,0.015729368,0.318621279
494,DJI_0069.JPG,30,0,2750,1506,GCP_2,-3.37,1.688,3.769117138,-3.37,1.688,3.769117138,0.103348547,0,0.024309023,0.106558553
495,DJI_0070.JPG,30,0,2812,2367,GCP_2,-2.4,1.438,2.797828443,-2.4,1.438,2.797828443,-0.085471409,0,0.037948475,0.093764316
496,DJI_0071.JPG,30,0,2945,3353,GCP_2,-2,0.528,2.068522178,-1.99,0.528,2.058855022,-0.293817705,0,0.067207299,0.310615693
497,DJI_0071.JPG,30,0,49,2423,GCP_1,-4.108,-7.172,8.265182878,-4.108,-7.182,8.273861734,-0.097686813,0,-0.5698871,0.580942408
498,DJI_0074.JPG,30,15,1363,467,RR_2,1.443,4.388,4.619176658,-0.577,1.738,1.831276331,0.320794877,0.261799388,-0.280818716,0.739743387
499,DJI_0075.JPG,30,15,1197,1362,RR_2,-0.177,4.638,4.641376197,-0.957,3.198,3.338121178,0.134576085,0.261799388,-0.317337248,0.54176349
500,DJI_0076.JPG,30,15,1058,2325,RR_2,-0.867,4.498,4.58079611,-0.937,3.918,4.028485199,-0.076292845,0.261799388,-0.347916019,0.400657412
501,DJI_0077.JPG,30,15,902,3329,RR_2,-0.847,3.598,3.696351309,-0.877,3.678,3.781112667,-0.28897406,0.261799388,-0.38223464,0.383340699
502,DJI_0077.JPG,30,15,1302,125,RR_1,3.452,7.102,7.896499731,0.492,4.022,4.05198075,0.386957837,0.261799388,-0.294238176,0.843378734
503,DJI_0078.JPG,30,15,1228,883,RR_1,1.312,7.162,7.281180399,-0.188,5.202,5.205396046,0.236265664,0.261799388,-0.310517522,0.648571036
504,DJI_0079.JPG,30,15,1129,1682,RR_1,-0.258,6.542,6.547085458,-0.768,5.442,5.495924672,0.064911208,0.261799388,-0.332296647,0.48777209
505,DJI_0080.JPG,30,15,1052,2576,RR_1,-1.348,6.342,6.483677043,-1.358,5.952,6.104954382,-0.130902023,0.261799388,-0.349235966,0.376047068
506,DJI_0081.JPG,30,15,970,3445,RR_1,-2.188,4.752,5.231524443,-2.258,4.892,5.387970675,-0.312252467,0.261799388,-0.367275242,0.371193875
507,DJI_0085.JPG,30,15,2890,1013,RR_1,-8.988,2.222,9.258586717,-7.108,2.262,7.459243125,0.209065432,0.261799388,0.055107786,0.512796408
508,DJI_0085.JPG,30,15,5088,2574,GCP_4,-8.553,6.107,10.50948419,-8.333,5.567,10.0214958,-0.130469545,0.261799388,0.538648355,0.559153103
509,DJI_0086.JPG,30,15,3115,1813,RR_1,-7.428,2.542,7.850920201,-6.668,2.452,7.104542772,0.036170059,0.261799388,0.104605797,0.326025617
510,DJI_0086.JPG,30,15,4770,763,GCP_5,-10.84,-8.831,13.98185113,-8.07,-10.451,13.20410167,0.261062255,0.261799388,0.468691166,0.790472086
