Image,u,v
DJI_0907.JPG,3790,16
DJI_0907.JPG,3763,423
DJI_0907.JPG,3712,567
DJI_0907.JPG,3775,604
DJI_0907.JPG,3414,786
DJI_0907.JPG,3806,456
DJI_0907.JPG,3704,710
DJI_0907.JPG,3683,117
DJI_0907.JPG,3718,497
DJI_0907.JPG,3774,549
DJI_0907.JPG,3946,530
DJI_0907.JPG,3939,38
DJI_0907.JPG,3737,694
DJI_0907.JPG,3782,413
DJI_0907.JPG,3705,41
DJI_0907.JPG,3743,357
DJI_0907.JPG,3813,406
DJI_0907.JPG,3910,394
DJI_0907.JPG,3371,697
DJI_0907.JPG,3451,570
DJI_0907.JPG,3848,155
DJI_0907.JPG,3315,724
DJI_0907.JPG,3964,562
DJI_0907.JPG,3850,292
DJI_0907.JPG,3757,300
DJI_0907.JPG,3702,468
DJI_0907.JPG,3894,244
DJI_0907.JPG,3659,103
DJI_0907.JPG,3801,26
DJI_0907.JPG,3957,551
DJI_0907.JPG,3809,229
DJI_0907.JPG,3602,125
DJI_0907.JPG,3701,55
DJI_0907.JPG,3942,11
DJI_0907.JPG,3939,106
DJI_0907.JPG,3212,771
DJI_0907.JPG,4056,395
DJI_0907.JPG,4286,18
DJI_0907.JPG,4123,509
DJI_0907.JPG,4033,570
DJI_0907.JPG,4331,104
DJI_0907.JPG,4110,146
DJI_0907.JPG,4060,508
DJI_0907.JPG,4142,105
DJI_0907.JPG,4274,234
DJI_0907.JPG,4027,377
DJI_0907.JPG,4190,193
DJI_0907.JPG,4297,139
DJI_0907.JPG,4133,243
DJI_0907.JPG,4096,485
DJI_0907.JPG,4233,414
DJI_0907.JPG,4091,176
DJI_0907.JPG,4149,490
DJI_0907.JPG,4301,317
DJI_0907.JPG,4289,167
DJI_0907.JPG,4048,539
DJI_0907.JPG,4261,40
DJI_0907.JPG,4167,414
DJI_0907.JPG,4055,241
DJI_0907.JPG,4066,346
DJI_0907.JPG,4078,459
DJI_0907.JPG,4054,182
DJI_0907.JPG,4038,493
DJI_0907.JPG,4044,115
DJI_0907.JPG,4092,411
DJI_0907.JPG,4125,109
DJI_0907.JPG,4039,315
DJI_0907.JPG,4108,37
DJI_0907.JPG,4166,322
DJI_0907.JPG,4037,452
DJI_0907.JPG,4225,221
DJI_0907.JPG,4158,158
DJI_0907.JPG,4276,84
DJI_0907.JPG,4025,231
DJI_0907.JPG,4108,352
DJI_0907.JPG,4191,267
DJI_0907.JPG,4020,138
DJI_0907.JPG,4103,228
DJI_0907.JPG,4240,285
DJI_0907.JPG,4019,531
DJI_0907.JPG,4040,347
DJI_0907.JPG,4215,394
DJI_0907.JPG,4255,104
DJI_0907.JPG,4314,349
DJI_0907.JPG,4029,429
DJI_0907.JPG,4086,189
DJI_0907.JPG,4268,310
DJI_0907.JPG,4084,324
DJI_0907.JPG,4039,476
DJI_0907.JPG,4268,64
DJI_0907.JPG,4168,39
DJI_0907.JPG,4118,364
DJI_0907.JPG,4046,131
DJI_0907.JPG,4253,24
DJI_0907.JPG,4012,267
DJI_0907.JPG,4101,191
DJI_0907.JPG,4040,141
DJI_0907.JPG,4015,334
DJI_0907.JPG,4182,295
DJI_0907.JPG,4097,389
DJI_0907.JPG,4024,217
DJI_0907.JPG,4052,67
DJI_0907.JPG,4214,355
DJI_0907.JPG,4100,114
DJI_0907.JPG,4262,403
DJI_0907.JPG,4011,67
DJI_0907.JPG,4122,160
DJI_0907.JPG,4225,46
DJI_0907.JPG,4236,15
DJI_0907.JPG,4137,502
DJI_0907.JPG,4281,116
DJI_0907.JPG,4340,34
DJI_0907.JPG,4037,558
DJI_0907.JPG,4052,437
DJI_0907.JPG,4090,93
DJI_0907.JPG,4113,197
DJI_0907.JPG,4112,293
DJI_0907.JPG,4036,83
DJI_0907.JPG,4139,457
DJI_0907.JPG,4118,493
DJI_0907.JPG,4076,499
DJI_0907.JPG,4072,366
DJI_0907.JPG,4228,258
DJI_0907.JPG,4075,446
DJI_0907.JPG,4305,169
DJI_0907.JPG,4137,162
DJI_0907.JPG,4126,302
DJI_0907.JPG,4148,176
DJI_0907.JPG,4152,94
DJI_0907.JPG,4066,187
DJI_0907.JPG,4170,378
DJI_0907.JPG,4237,353
DJI_0907.JPG,4129,278
DJI_0907.JPG,4317,135
DJI_0907.JPG,4270,19
DJI_0907.JPG,4153,283
DJI_0907.JPG,4163,230
DJI_0907.JPG,4047,273
DJI_0907.JPG,4059,370
DJI_0907.JPG,4298,155
DJI_0907.JPG,4239,366
DJI_0907.JPG,4090,467
DJI_0907.JPG,4056,526
DJI_0907.JPG,4204,326
DJI_0907.JPG,4034,278
DJI_0907.JPG,4090,160
DJI_0907.JPG,4185,77
DJI_0907.JPG,4278,140
DJI_0907.JPG,4230,275
DJI_0907.JPG,4040,333
DJI_0907.JPG,4022,574
DJI_0907.JPG,4259,350
DJI_0907.JPG,4012,173
DJI_0907.JPG,4145,470
DJI_0907.JPG,4055,383
DJI_0907.JPG,4044,154
DJI_0907.JPG,4013,581
DJI_0907.JPG,4036,386
DJI_0907.JPG,4015,212
DJI_0907.JPG,4100,136
DJI_0907.JPG,4148,57
DJI_0907.JPG,4102,87
